Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60850767,"Children of Memory (Children of Time, #3)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.14,Pan Macmillan Tor,Kindle Edition,486,2022,2023,2023/02/27,2023/01/18,,,read,,,,1,0
60147395,City of Last Chances,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1801108420""","=""9781801108423""",0,4.04,Head of Zeus,Hardcover,512,2022,2022,,2023/02/26,to-read,to-read (#43),to-read,,,,0,0
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",0,4.16,Tordotcom,Paperback,201,2021,2021,,2023/02/23,to-read,to-read (#42),to-read,,,,0,0
89230,Augustus: The Life of Rome's First Emperor,Anthony Everitt,"Everitt, Anthony",,"=""1400061288""","=""9781400061280""",3,3.93,Random House,Hardcover,377,2006,2006,2023/02/23,2020/07/06,,,read,,,,1,0
44657131,Sää joka muutti maailmaa,Marcus Rosenlund,"Rosenlund, Marcus",Ulla Lempinen,"=""9515247152""","=""9789515247155""",4,3.70,S&S,Hardcover,262,2019,2018,2023/02/18,2023/02/05,,,read,,,,1,0
35414997,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,Robert Kurson,"Kurson, Robert",,"=""0812988701""","=""9780812988703""",0,4.53,Random House,Hardcover,384,2018,2018,,2023/02/15,to-read,to-read (#41),to-read,,,,0,0
104080,The Last Light of the Sun,Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""0743484231""","=""9780743484237""",0,3.96,Pocket,Paperback,501,2005,2004,,2023/02/14,to-read,to-read (#40),to-read,,,,0,0
23311670,"The Darkest Road (The Fionavar Tapestry, #3)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",3,4.20,Roc,Kindle Edition,431,2001,1986,2023/02/14,2023/02/07,,,read,,,,1,0
23311663,"The Wandering Fire (The Fionavar Tapestry, #2)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",3,4.12,Roc,Kindle Edition,395,2001,1986,2023/02/06,2023/01/29,,,read,,,,1,0
41385104,Suomessa selviytymisen historiaa kivikaudelta keskiajalle ja 1900-luvun alkuun,Ulla Koskinen,"Koskinen, Ulla",,"=""""","=""9789522649485""",3,3.52,Into,Hardcover,293,2018,,,2021/07/24,,,read,,,,1,0
17280274,"Synnintekijä (Olavi Maununpoika, #1)",Milja Kaunisto,"Kaunisto, Milja",,"=""""","=""9789512090969""",3,3.18,Gummerus,Hardcover,308,2013,2013,,2022/08/25,,,read,,,,1,0
